owner,fish_id,master_csv,conf_func_csv,ring,plot_order,bpi_category,identity_bucket,count,n_total_responsive
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,1,bout-responsive,sst1.1/sst1.2,3,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,2,bout-responsive,sst1.1/sst1.2/pth2,1,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,3,bout-responsive,unidentified,33,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,4,both-responsive,sst1.2,1,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,5,both-responsive,pth2,1,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,6,both-responsive,unidentified,40,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,7,weak-response,sst1.1,1,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,8,weak-response,sst1.2,6,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,9,weak-response,tac3b,1,326
Matilde,L396_f03,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f03/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,10,weak-response,pth2,13,326
