owner,fish_id,gene,anat_label,plane,func_label,cell_key,stim_type,stim_class,block,stim_idx,response_mean_dff,response_mean_zdff,n_valid_points,n_total_points,fps
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,RLC,continuous,B2,28,0.004350319970399141,-0.3845325708389282,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,LLB,bout,B2,30,0.04534345492720604,6.150051593780518,57,57,2.0
Matilde,L395_f11,pth2,13949,3,425,L395_f11|pth2|13949,RLB,bout,B2,31,0.005867330357432365,-0.14271079003810883,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,RLC,continuous,B1,1,0.021513458341360092,2.0775063037872314,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,LLC,continuous,B1,2,0.03418823331594467,3.7687699794769287,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,RLB,bout,B1,3,0.0447818823158741,5.182337284088135,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,LLB,bout,B1,4,0.02024361677467823,1.9080647230148315,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,LLB+RLB,bout,B1,6,0.02616223506629467,2.6978180408477783,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,LLC+RLC,continuous,B1,7,0.0076335035264492035,0.225429505109787,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,RLC,continuous,B1,9,0.005932527594268322,-0.0015409683110192418,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,LLB,bout,B1,10,0.013956308364868164,1.0691155195236206,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,LLB+RLB,bout,B1,11,0.03056931681931019,3.2858784198760986,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,RLB,bout,B1,12,0.013806760311126709,1.0491604804992676,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,LLC,continuous,B1,13,0.003780907951295376,-0.28864309191703796,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,LLC+RLC,continuous,B1,14,0.003461700165644288,-0.33123666048049927,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,LLC+RLC,continuous,B2,16,0.003951097838580608,-0.2659337520599365,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,LLB,bout,B2,17,0.007683910429477692,0.23215550184249878,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,RLC,continuous,B2,20,0.0038782814517617226,-0.2756499946117401,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,LLC,continuous,B2,21,0.003703656606376171,-0.2989511787891388,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,RLB,bout,B2,22,0.01332813873887062,0.9852954149246216,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,LLB+RLB,bout,B2,23,0.018396815285086632,1.6616361141204834,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,LLB+RLB,bout,B2,24,0.0178590789437294,1.5898828506469727,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,LLC,continuous,B2,25,0.003607054241001606,-0.31184133887290955,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,LLC+RLC,continuous,B2,26,0.0029705010820180178,-0.3967800438404083,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,RLC,continuous,B2,28,0.002257289830595255,-0.49194765090942383,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,LLB,bout,B2,30,0.0046121603809297085,-0.17772461473941803,57,57,2.0
Matilde,L395_f11,pth2,15117,3,655,L395_f11|pth2|15117,RLB,bout,B2,31,0.008802754804491997,0.38144898414611816,57,57,2.0
Matilde,L395_f11,pth2,15378,3,435,L395_f11|pth2|15378,RLC,continuous,B1,1,0.0048021674156188965,-0.019504522904753685,57,57,2.0
Matilde,L395_f11,pth2,15378,3,435,L395_f11|pth2|15378,LLC,continuous,B1,2,0.008631759323179722,0.8796635866165161,57,57,2.0
Matilde,L395_f11,pth2,15378,3,435,L395_f11|pth2|15378,RLB,bout,B1,3,0.009924829937517643,1.1832696199417114,57,57,2.0
Matilde,L395_f11,pth2,15378,3,435,L395_f11|pth2|15378,LLB,bout,B1,4,0.03738804906606674,7.6314897537231445,57,57,2.0
Matilde,L395_f11,pth2,15378,3,435,L395_f11|pth2|15378,LLB+RLB,bout,B1,6,0.041627850383520126,8.626973152160645,57,57,2.0
Matilde,L395_f11,pth2,15378,3,435,L395_f11|pth2|15378,LLC+RLC,continuous,B1,7,0.006093460135161877,0.28368404507637024,57,57,2.0
Matilde,L395_f11,pth2,15378,3,435,L395_f11|pth2|15378,RLC,continuous,B1,9,0.005100939888507128,0.050645582377910614,57,57,2.0
Matilde,L395_f11,pth2,15378,3,435,L395_f11|pth2|15378,LLB,bout,B1,10,0.018240537494421005,3.135753870010376,57,57,2.0
Matilde,L395_f11,pth2,15378,3,435,L395_f11|pth2|15378,LLB+RLB,bout,B1,11,0.031197160482406616,6.177900314331055,57,57,2.0
Matilde,L395_f11,pth2,15378,3,435,L395_f11|pth2|15378,RLB,bout,B1,12,0.0055992635898292065,0.1676492840051651,57,57,2.0
Matilde,L395_f11,pth2,15378,3,435,L395_f11|pth2|15378,LLC,continuous,B1,13,0.003876396454870701,-0.2368706613779068,57,57,2.0
Matilde,L395_f11,pth2,15378,3,435,L395_f11|pth2|15378,LLC+RLC,continuous,B1,14,0.0038050420116633177,-0.25362429022789,57,57,2.0
Matilde,L395_f11,pth2,15378,3,435,L395_f11|pth2|15378,LLC+RLC,continuous,B2,16,0.003577930387109518,-0.3069489896297455,57,57,2.0
Matilde,L395_f11,pth2,15378,3,435,L395_f11|pth2|15378,LLB,bout,B2,17,0.02462475746870041,4.634735584259033,57,57,2.0
Matilde,L395_f11,pth2,15378,3,435,L395_f11|pth2|15378,RLC,continuous,B2,20,0.0030407626181840897,-0.4330732226371765,57,57,2.0
