dataset,z_um,y_um,x_um
Confocal (HCR),95.0952380952381,295.9082850178571,201.85347919047618
Confocal (HCR),97.03589232303091,307.48462585194414,181.18734328165502
Confocal (HCR),93.97701149425288,308.2267092126437,182.46208733524904
Confocal (HCR),93.49535603715171,110.82444548142414,363.44508577554177
Confocal (HCR),94.27950310559007,239.3607027660455,132.30323089544513
Confocal (HCR),93.08064516129032,246.02991158870964,126.75617456451612
Confocal (HCR),94.25547445255475,320.31298659854014,180.75405948540146
Confocal (HCR),98.25490196078431,300.21306112091503,187.04454937581698
Confocal (HCR),94.0,302.03367708823527,183.8794994117647
Confocal (HCR),100.38461538461539,306.3955254065934,187.56484463186814
Confocal (HCR),99.64492753623189,298.83108348188404,184.67702900724635
Confocal (HCR),102.51724137931035,66.82209806896552,305.8886038103448
Confocal (HCR),109.96354166666667,66.6645219921875,306.1935603033854
Confocal (HCR),107.73134328358209,124.42837173134328,348.43135032462686
Confocal (HCR),114.22279792746114,124.98729722279792,347.6206515323834
Confocal (HCR),117.66071774975752,69.06709856741028,290.4056257761397
Confocal (HCR),116.71157894736842,117.10202758631577,344.6333660115789
Confocal (HCR),118.73975518893029,128.5714291116285,350.625164986562
Confocal (HCR),119.00778816199377,123.75328116121494,334.99842857087225
Confocal (HCR),119.07142857142857,125.04399007142857,345.50741215625
Confocal (HCR),118.80263157894737,75.67437607894736,290.68595869736845
Confocal (HCR),127.67473262032085,132.06193791290107,348.8030159605615
Confocal (HCR),125.03957783641161,69.8537946141161,288.528114542876
Confocal (HCR),127.14566929133858,129.89413507086616,345.7878107992126
2P (mCherry),2.7222222222222223,197.78908800000002,109.55751566666667
2P (mCherry),7.08955223880597,287.59434555223885,83.08540047761194
2P (mCherry),13.908333333333333,16.2763937,45.31040045
2P (mCherry),10.5968992248062,43.116736751937985,66.58788337209303
2P (mCherry),4.571428571428571,239.738716,101.280158
2P (mCherry),14.733727810650887,298.1452857633136,75.64924437869823
